track_name,track_id,artist_name,artist_id,album_name,popularity,duration_ms,explicit,artist_genres
Youth,4pNaaHNfuI3hSDthqatgbi,Beach Fossils,1bwUhKRmEkOZ1wuTnV9XjC,Beach Fossils,0,156866,False,"['dream pop', 'surf rock', 'shoegaze']"
Past Lives,4a5XE0MLRfMo7JmZFTxvR3,Real Estate,41SQP16hv1TioVYqdckmxT,Atlas,35,273080,False,"['jangle pop', 'dream pop', 'surf rock']"
Sometime,1GUQMJtIIMBLoEJNyDGA0X,DIIV,4OrizGCKhOrW6iDDJHN9xd,Oshin,0,185600,False,"['shoegaze', 'dream pop']"
A Long Walk Home for Parted Lovers,5MNthJmhGd0USHhwSDwsif,Yumi Zouma,4tPyCwWrsvZ8OKYl7QRavL,EP,0,196845,False,['dream pop']
Dopamine,53FCh1Yv1gdlnybyYWsyca,DIIV,4OrizGCKhOrW6iDDJHN9xd,Is the Is Are,0,235565,False,"['shoegaze', 'dream pop']"
Kisses in Your Eyes,3qVVCH9Bzzzw1PrmaIfA01,Trementina,0DM3M5xGKVaO7MNFBH3K0X,Almost Reach the Sun,29,152206,False,"['shoegaze', 'dream pop', 'slowcore']"
Interstellar,2259JjmM2CzFpm2zVZjva8,Shadowgraphs,23n7rc2VumQAULNcZ5L6Jx,Venomous Blossoms,12,203162,False,"['dream pop', 'neo-psychedelic']"
It's Alright,0ZAdCDeysyoh5BOpuSGKy3,Horsebeach,1z0OEnD3fL4Zwyud1f1CNL,II,0,310000,False,"['dream pop', 'surf rock', 'jangle pop', 'lo-fi indie']"
In Between,7EyOP1aNxYNNO9MgEmJCAI,Surf Rock Is Dead,5iwmHxCi5pm28BEykL5Fyd,In Between,0,233453,False,"['surf rock', 'dream pop', 'shoegaze']"
Faded Eyes,6HxVluu2FEK5JiPVs39gau,Horsebeach,1z0OEnD3fL4Zwyud1f1CNL,Horsebeach,0,290000,False,"['dream pop', 'surf rock', 'jangle pop', 'lo-fi indie']"
Float in Clouds,2xmgRoRx5GrZpm06GfI3XL,Suburban Living,3ZOX2dQRZEB6qADJd4emx2,Cooper's Dream - EP,7,248386,False,"['shoegaze', 'dream pop']"
Black Tree,2VTpAdcsIbZ3qhRJaA9bVX,Fox Grin,3NBYNsx6JYF3vGBcOoMRCX,Black Tree,0,220865,False,"['dream pop', 'neo-psychedelic', 'shoegaze']"
Escape,3jeR3DJ0eJErtVvnzRLD6r,Beach Vacation,5r5uCVk3IIzm2jdfGDpl8C,Maritime EP,0,168219,False,['dream pop']
In Undertow,1gvaxqNiJEbQzWPqs72kgG,Alvvays,3kzwYV3OCB010YfXMF0Avt,Antisocialites,0,197186,False,"['dream pop', 'shoegaze', 'jangle pop', 'indie']"
Star Roving,6oeABvJGU7Oztzd3CiSv0l,Slowdive,72X6FHxaShda0XeQw3vbeF,Slowdive,0,338869,False,"['shoegaze', 'dream pop', 'slowcore']"
Dancing,0xdCRmVLdaxNxF0oAQInsi,Fringe,3tOmD0F2MPfrazZ4asicp6,Fringe,10,198352,False,"['dream pop', 'shoegaze']"
Dreams Tonite,0DRvClQbN9znQ295sx76VC,Alvvays,3kzwYV3OCB010YfXMF0Avt,Antisocialites,0,196026,False,"['dream pop', 'shoegaze', 'jangle pop', 'indie']"
White Gloves,6ziC3mMtZcB77liomN0u7i,Khruangbin,2mVVjNmdjXZZDvhgQWiakk,The Universe Smiles Upon You,0,218306,False,['neo-psychedelic']
Take Yourself With You,79FbfiFCk34V4W1XCDGuqO,Rose Elinor Dougall,6T1GNMxXuljv0C0ZRR60CC,Stellular,0,240613,False,[]
Home,15fSe0A90WtPu1wHqCCWcB,Vacations,0U7iI0Dk4Ojvi17nZboNO4,Vibes,0,145666,False,[]
Dream About Me,3krLB8UbnVrO5eoNX4nFG6,The Depreciation Guild,3Hg2a04c1Z2I3wKX32hLGU,Spirit Youth,0,308093,False,"['shoegaze', 'dream pop']"
La La La,7eqFExt8qLJZ5wyaVEWIFJ,Hoops,12qS7lypMdpvASeNnFXtmN,Tapes #1-3,27,247420,False,"['dream pop', 'surf rock', 'jangle pop']"
Heat Wave,3twm1m2HtONUDBkUE4iPju,Snail Mail,4QkSD9TRUnMtI8Fq1jXJJe,Heat Wave,0,308346,False,['indie']
Powder Blue / Cascine Park,3HKLkBOOsSRAHPrOPs7Hxp,Yumi Zouma,4tPyCwWrsvZ8OKYl7QRavL,EP III,0,228240,False,['dream pop']
Never Be the Same,0CXzFobArjJTc0P23KftZy,Surf Rock Is Dead,5iwmHxCi5pm28BEykL5Fyd,SRiD,0,233485,False,"['surf rock', 'dream pop', 'shoegaze']"
Letting Go,4yJjv9ii2kk02tIWZLzRei,Wild Nothing,6NrkINd80slV25wkBu9mEB,Letting Go,0,221600,False,"['dream pop', 'shoegaze', 'chillwave']"
Wishes,7x4tFmih1JBITx0e2ucGrT,Beach House,56ZTgzPBDge0OvCGgMO3OY,Bloom,0,286960,False,['dream pop']
Chemicals,1Jl74ao9nBADj4KtQmwCIF,Rosemary Fairweather,4I4taY0pRzBIGmIgsBqcrE,Heavenly,43,231106,False,[]
Bent (Roi's Song),2K0HAp3di1AvmIjYYdPk4J,DIIV,4OrizGCKhOrW6iDDJHN9xd,Is the Is Are,0,340366,False,"['shoegaze', 'dream pop']"
Beach Comber,3tPh7vkXySn2lUEH1NEPyO,Real Estate,41SQP16hv1TioVYqdckmxT,Real Estate,47,268466,False,"['jangle pop', 'dream pop', 'surf rock']"
Looking Over Shoulders,6BY4ZlhDAnswI7ww8jZxrP,Yumi Zouma,4tPyCwWrsvZ8OKYl7QRavL,EP III,0,208659,False,['dream pop']
Anyone,4qQFwn7DUSL3qV8psue32d,Swim Mountain,0k03iT1wmiddzXpZD2spn7,Anyone,0,228939,False,['neo-psychedelic']
Saturday,50wiHcvfcpQSo5P5rbyozc,Real Estate,41SQP16hv1TioVYqdckmxT,In Mind,38,283026,False,"['jangle pop', 'dream pop', 'surf rock']"
Pristine,4UADR6fNQfx4fxkiRQvSy2,Snail Mail,4QkSD9TRUnMtI8Fq1jXJJe,Lush,0,295333,False,['indie']
Sunflower Seeds,0TEakF2OKW4GhTYnYpDCLF,The Orielles,5JWEBEt8VxHHxYKFmpzjwD,Silver Dollar Moment,0,304093,False,[]
Perfect Shapes,5Gcwao0M9mKVdDH2X1pqnv,Madeline Kenney,2mirb9SKAm6IUHtPwreoqN,Perfect Shapes,0,275314,False,[]
Natural,6Xwn68W3xQsfyydaTbm6sC,Tanukichan,7d0wUlQ0ZXIGFa0YzuBiR6,Sundays,0,151533,False,"['shoegaze', 'dream pop']"
Black Lagoon,0wA37T62tYBAWl5lKIcOxm,Still Corners,4zKYrXs8iN4AeHmO8ZxNqp,Slow Air,0,333613,False,['dream pop']
PDA,2jXdenospFSqnRdkszCKJe,"Day Wave, Hazel English",4ptJIIR10UVlGjN0VntFaK,PDA,29,305915,False,"['dream pop', 'surf rock']"
